,raw,floored
304,0.42,0.25
305,0.43,0.26
306,0.37,0.3
307,0.45,0.24
308,0.29,0.25
309,0.41,0.26
310,0.43,0.33
311,0.36,0.27
312,0.34,0.21
313,0.34,0.26
314,0.33,0.29
315,0.35,0.25
316,0.33,0.23
317,0.36,0.24
318,0.42,0.29
319,0.38,0.23
320,0.3,0.3
321,0.32,0.32
322,0.34,0.32
323,0.36,0.24
324,0.5555555555555556,0.4444444444444444
325,0.5555555555555556,0.2222222222222222
326,0.5555555555555556,0.4444444444444444
327,0.3333333333333333,0.2222222222222222
328,0.3333333333333333,0.2222222222222222
329,0.5555555555555556,0.4444444444444444
330,0.6666666666666666,0.4444444444444444
331,0.4444444444444444,0.3333333333333333
332,0.5555555555555556,0.3333333333333333
333,0.6666666666666666,0.4444444444444444
334,0.6666666666666666,0.4444444444444444
335,0.4444444444444444,0.1111111111111111
336,0.5555555555555556,0.5555555555555556
337,0.3333333333333333,0.2222222222222222
338,0.5555555555555556,0.2222222222222222
339,0.4444444444444444,0.3333333333333333
340,0.6666666666666666,0.3333333333333333
341,0.7777777777777778,0.6666666666666666
342,0.3333333333333333,0.1111111111111111
343,0.5555555555555556,0.4444444444444444
344,0.4444444444444444,0.4444444444444444
345,0.3333333333333333,0.3333333333333333
346,0.4444444444444444,0.4444444444444444
347,0.4444444444444444,0.3333333333333333
348,0.3333333333333333,0.3333333333333333
349,0.4444444444444444,0.3333333333333333
350,0.5555555555555556,0.2222222222222222
351,0.5555555555555556,0.3333333333333333
352,0.7777777777777778,0.5555555555555556
353,0.4444444444444444,0.2222222222222222
354,0.4444444444444444,0.3333333333333333
355,0.7777777777777778,0.6666666666666666
356,0.7777777777777778,0.6666666666666666
357,0.3333333333333333,0.3333333333333333
358,0.5555555555555556,0.5555555555555556
359,0.5555555555555556,0.2222222222222222
360,0.3333333333333333,0.1111111111111111
361,0.5555555555555556,0.3333333333333333
362,0.5555555555555556,0.4444444444444444
363,0.5555555555555556,0.3333333333333333
364,0.3333333333333333,0.3333333333333333
365,0.4444444444444444,0.3333333333333333
366,0.3333333333333333,0.3333333333333333
367,0.2222222222222222,0.1111111111111111
368,0.4444444444444444,0.2222222222222222
369,0.3333333333333333,0.1111111111111111
370,0.5555555555555556,0.3333333333333333
371,0.6666666666666666,0.4444444444444444
372,0.5555555555555556,0.3333333333333333
373,0.4444444444444444,0.3333333333333333
374,0.7777777777777778,0.6666666666666666
375,0.5555555555555556,0.4444444444444444
376,0.8888888888888888,0.7777777777777778
377,0.6666666666666666,0.5555555555555556
378,0.4444444444444444,0.2222222222222222
379,0.7777777777777778,0.5555555555555556
380,0.3333333333333333,0.1111111111111111
381,0.5555555555555556,0.3333333333333333
382,0.2222222222222222,0.1111111111111111
383,0.3333333333333333,0.2222222222222222
384,0.4444444444444444,0.2222222222222222
385,0.2222222222222222,0.2222222222222222
386,0.3333333333333333,0.2222222222222222
387,0.6666666666666666,0.4444444444444444
388,0.4444444444444444,0.4444444444444444
389,0.3333333333333333,0.2222222222222222
390,0.4444444444444444,0.4444444444444444
391,0.3333333333333333,0.3333333333333333
392,0.4444444444444444,0.4444444444444444
393,0.3333333333333333,0.3333333333333333
394,0.6666666666666666,0.3333333333333333
395,0.7777777777777778,0.5555555555555556
396,0.5555555555555556,0.3333333333333333
397,0.2222222222222222,0.1111111111111111
398,0.4444444444444444,0.4444444444444444
399,0.3333333333333333,0.2222222222222222
400,0.5555555555555556,0.4444444444444444
401,0.4444444444444444,0.4444444444444444
402,0.1111111111111111,0.1111111111111111
403,0.4444444444444444,0.3333333333333333
404,0.5555555555555556,0.3333333333333333
405,0.4444444444444444,0.1111111111111111
406,0.4444444444444444,0.5555555555555556
407,0.3333333333333333,0.2222222222222222
408,0.3333333333333333,0.2222222222222222
409,0.2222222222222222,0.5555555555555556
410,0.5555555555555556,0.3333333333333333
411,0.5555555555555556,0.3333333333333333
412,0.3333333333333333,0.3333333333333333
413,0.2222222222222222,0.2222222222222222
414,0.5555555555555556,0.5555555555555556
415,0.6666666666666666,0.3333333333333333
416,0.5555555555555556,0.2222222222222222
417,0.5555555555555556,0.3333333333333333
418,0.5555555555555556,0.2222222222222222
419,0.4444444444444444,0.3333333333333333
420,0.4444444444444444,0.4444444444444444
421,0.5555555555555556,0.2222222222222222
422,0.3333333333333333,0.3333333333333333
423,0.4444444444444444,0.2222222222222222
424,0.4444444444444444,0.0
425,0.2222222222222222,0.2222222222222222
426,0.4444444444444444,0.1111111111111111
427,0.2222222222222222,0.2222222222222222
428,0.1111111111111111,0.1111111111111111
429,0.3333333333333333,0.3333333333333333
430,0.6666666666666666,0.2222222222222222
431,0.4444444444444444,0.3333333333333333
432,0.5555555555555556,0.4444444444444444
433,0.5555555555555556,0.5555555555555556
434,0.5555555555555556,0.4444444444444444
435,0.4444444444444444,0.2222222222222222
436,0.1111111111111111,0.3333333333333333
437,0.2222222222222222,0.2222222222222222
438,0.4444444444444444,0.2222222222222222
439,0.6666666666666666,0.4444444444444444
440,0.1111111111111111,0.2222222222222222
441,0.3333333333333333,0.3333333333333333
442,0.3333333333333333,0.4444444444444444
443,0.6666666666666666,0.2222222222222222
444,0.3333333333333333,0.3333333333333333
445,0.2222222222222222,0.2222222222222222
446,0.4444444444444444,0.2222222222222222
447,0.3333333333333333,0.2222222222222222
448,0.4444444444444444,0.4444444444444444
449,0.4444444444444444,0.3333333333333333
450,0.5555555555555556,0.4444444444444444
451,0.3333333333333333,0.3333333333333333
452,0.6666666666666666,0.6666666666666666
453,0.3333333333333333,0.2222222222222222
454,0.3333333333333333,0.4444444444444444
455,0.5555555555555556,0.5555555555555556
456,0.3333333333333333,0.3333333333333333
457,0.3333333333333333,0.1111111111111111
458,0.4444444444444444,0.1111111111111111
459,0.6666666666666666,0.4444444444444444
460,0.1111111111111111,0.0
461,0.4444444444444444,0.1111111111111111
462,0.4444444444444444,0.4444444444444444
463,0.3333333333333333,0.4444444444444444
