,raw,floored
305,0.23,0.23
306,0.2,0.21
307,0.27,0.27
308,0.24,0.23
309,0.26,0.25
310,0.23,0.23
311,0.25,0.24
312,0.23,0.22
313,0.23,0.23
314,0.23,0.24
315,0.25,0.25
316,0.24,0.24
317,0.24,0.25
318,0.22,0.22
319,0.23,0.22
320,0.25,0.24
321,0.22,0.21
322,0.23,0.23
323,0.26,0.27
324,0.0,0.0
325,0.0,0.0
326,0.1111111111111111,0.1111111111111111
327,0.2222222222222222,0.1111111111111111
328,0.1111111111111111,0.1111111111111111
329,0.1111111111111111,0.1111111111111111
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.1111111111111111,0.0
334,0.1111111111111111,0.1111111111111111
335,0.0,0.0
336,0.0,0.0
337,0.1111111111111111,0.1111111111111111
338,0.1111111111111111,0.1111111111111111
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.1111111111111111,0.1111111111111111
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,0.0,0.0
348,0.1111111111111111,0.1111111111111111
349,0.2222222222222222,0.2222222222222222
350,0.2222222222222222,0.2222222222222222
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.2222222222222222,0.1111111111111111
357,0.0,0.0
358,0.1111111111111111,0.1111111111111111
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.2222222222222222,0.2222222222222222
364,0.0,0.0
365,0.1111111111111111,0.0
366,0.0,0.0
367,0.1111111111111111,0.0
368,0.2222222222222222,0.1111111111111111
369,0.0,0.0
370,0.1111111111111111,0.1111111111111111
371,0.0,0.0
372,0.0,0.0
373,0.0,0.0
374,0.2222222222222222,0.1111111111111111
375,0.2222222222222222,0.2222222222222222
376,0.0,0.0
377,0.0,0.0
378,0.1111111111111111,0.1111111111111111
379,0.0,0.0
380,0.1111111111111111,0.0
381,0.0,0.0
382,0.1111111111111111,0.0
383,0.1111111111111111,0.0
384,0.0,0.0
385,0.1111111111111111,0.0
386,0.3333333333333333,0.2222222222222222
387,0.1111111111111111,0.0
388,0.0,0.0
389,0.0,0.0
390,0.0,0.0
391,0.0,0.0
392,0.0,0.0
393,0.0,0.0
394,0.0,0.0
395,0.0,0.0
396,0.0,0.0
397,0.1111111111111111,0.1111111111111111
398,0.0,0.0
399,0.1111111111111111,0.1111111111111111
400,0.0,0.0
401,0.0,0.0
402,0.0,0.0
403,0.1111111111111111,0.1111111111111111
404,0.0,0.0
405,0.1111111111111111,0.1111111111111111
406,0.1111111111111111,0.1111111111111111
407,0.1111111111111111,0.1111111111111111
408,0.1111111111111111,0.1111111111111111
409,0.1111111111111111,0.1111111111111111
410,0.1111111111111111,0.1111111111111111
411,0.1111111111111111,0.1111111111111111
412,0.1111111111111111,0.1111111111111111
413,0.1111111111111111,0.1111111111111111
414,0.1111111111111111,0.1111111111111111
415,0.1111111111111111,0.1111111111111111
416,0.0,0.0
417,0.1111111111111111,0.1111111111111111
418,0.1111111111111111,0.1111111111111111
419,0.1111111111111111,0.1111111111111111
420,0.1111111111111111,0.1111111111111111
421,0.0,0.0
422,0.1111111111111111,0.1111111111111111
423,0.0,0.0
424,0.1111111111111111,0.1111111111111111
425,0.1111111111111111,0.1111111111111111
426,0.1111111111111111,0.1111111111111111
427,0.2222222222222222,0.2222222222222222
428,0.2222222222222222,0.2222222222222222
429,0.1111111111111111,0.1111111111111111
430,0.1111111111111111,0.1111111111111111
431,0.1111111111111111,0.1111111111111111
432,0.1111111111111111,0.1111111111111111
433,0.1111111111111111,0.1111111111111111
434,0.1111111111111111,0.1111111111111111
435,0.2222222222222222,0.1111111111111111
436,0.2222222222222222,0.2222222222222222
437,0.2222222222222222,0.2222222222222222
438,0.1111111111111111,0.1111111111111111
439,0.1111111111111111,0.1111111111111111
440,0.2222222222222222,0.2222222222222222
441,0.3333333333333333,0.3333333333333333
442,0.1111111111111111,0.1111111111111111
443,0.1111111111111111,0.1111111111111111
444,0.1111111111111111,0.1111111111111111
445,0.1111111111111111,0.1111111111111111
446,0.2222222222222222,0.2222222222222222
447,0.2222222222222222,0.2222222222222222
448,0.1111111111111111,0.1111111111111111
449,0.2222222222222222,0.2222222222222222
450,0.1111111111111111,0.1111111111111111
451,0.1111111111111111,0.1111111111111111
452,0.1111111111111111,0.1111111111111111
453,0.1111111111111111,0.1111111111111111
454,0.3333333333333333,0.1111111111111111
455,0.2222222222222222,0.2222222222222222
456,0.1111111111111111,0.1111111111111111
457,0.2222222222222222,0.2222222222222222
458,0.1111111111111111,0.1111111111111111
459,0.0,0.1111111111111111
460,0.1111111111111111,0.1111111111111111
461,0.1111111111111111,0.1111111111111111
462,0.1111111111111111,0.1111111111111111
463,0.1111111111111111,0.1111111111111111
464,0.2222222222222222,0.1111111111111111
465,0.2222222222222222,0.2222222222222222
466,0.1111111111111111,0.1111111111111111
467,0.1111111111111111,0.1111111111111111
468,0.3333333333333333,0.3333333333333333
469,0.2222222222222222,0.1111111111111111
470,0.0,0.0
471,0.1111111111111111,0.1111111111111111
472,0.1111111111111111,0.1111111111111111
473,0.1111111111111111,0.1111111111111111
474,0.2222222222222222,0.2222222222222222
475,0.2222222222222222,0.2222222222222222
476,0.1111111111111111,0.1111111111111111
477,0.0,0.1111111111111111
478,0.1111111111111111,0.1111111111111111
479,0.1111111111111111,0.1111111111111111
480,0.1111111111111111,0.1111111111111111
481,0.1111111111111111,0.1111111111111111
482,0.1111111111111111,0.1111111111111111
483,0.1111111111111111,0.1111111111111111
484,0.1111111111111111,0.1111111111111111
485,0.1111111111111111,0.1111111111111111
486,0.1111111111111111,0.1111111111111111
487,0.0,0.0
488,0.0,0.0
489,0.1111111111111111,0.1111111111111111
490,0.3333333333333333,0.3333333333333333
491,0.0,0.0
492,0.0,0.0
493,0.0,0.0
494,0.2222222222222222,0.2222222222222222
495,0.0,0.0
496,0.0,0.0
497,0.1111111111111111,0.1111111111111111
498,0.0,0.0
499,0.1111111111111111,0.1111111111111111
500,0.1111111111111111,0.0
501,0.1111111111111111,0.0
502,0.0,0.0
503,0.0,0.0
504,0.0,0.0
505,0.1111111111111111,0.0
506,0.0,0.0
507,0.0,0.0
508,0.0,0.0
509,0.0,0.0
510,0.0,0.0
511,0.0,0.0
512,0.0,0.0
513,0.2222222222222222,0.2222222222222222
514,0.1111111111111111,0.1111111111111111
515,0.0,0.0
516,0.0,0.0
517,0.2222222222222222,0.1111111111111111
518,0.0,0.0
519,0.0,0.0
520,0.1111111111111111,0.1111111111111111
521,0.1111111111111111,0.1111111111111111
522,0.1111111111111111,0.1111111111111111
523,0.0,0.0
524,0.1111111111111111,0.1111111111111111
525,0.0,0.0
526,0.1111111111111111,0.1111111111111111
527,0.0,0.0
528,0.0,0.0
529,0.1111111111111111,0.0
530,0.0,0.0
531,0.0,0.0
532,0.0,0.0
533,0.1111111111111111,0.1111111111111111
534,0.1111111111111111,0.0
535,0.0,0.0
536,0.0,0.0
537,0.0,0.0
538,0.0,0.0
539,0.0,0.0
540,0.2222222222222222,0.1111111111111111
541,0.1111111111111111,0.1111111111111111
542,0.0,0.0
543,0.1111111111111111,0.1111111111111111
544,0.1111111111111111,0.1111111111111111
545,0.0,0.0
546,0.1111111111111111,0.1111111111111111
547,0.0,0.0
548,0.1111111111111111,0.1111111111111111
549,0.2222222222222222,0.2222222222222222
550,0.1111111111111111,0.1111111111111111
551,0.0,0.0
552,0.1111111111111111,0.1111111111111111
553,0.0,0.0
554,0.0,0.0
555,0.0,0.0
556,0.0,0.0
557,0.0,0.0
558,0.0,0.0
559,0.0,0.0
560,0.0,0.0
561,0.0,0.0
562,0.0,0.0
563,0.2222222222222222,0.1111111111111111
